bundle_name,source_bundle_root,source_edited_puml,source_baseline_ir,completed,pre_completed,pre_exception,pre_ir_path,pre_puml_path,pre_validation_path,pre_layer5_path,pre_det_ok,pre_layer5_ok,pre_overall_valid,pre_structural_valid,pre_downstream_ready,pre_det_error_count,pre_det_warning_count,pre_det_schema_error_count,pre_layer5_issue_count,pre_layer5_error_count,pre_layer5_warning_count,pre_layer5_codes,pre_total_issue_count,pre_total_error_count,pre_state_count,pre_transition_count,post_completed,post_exception,post_revision_dir,post_ir_path,post_puml_path,post_validation_path,post_layer5_path,post_summary_json_path,post_det_ok,post_layer5_ok,post_overall_valid,post_structural_valid,post_downstream_ready,post_det_error_count,post_det_warning_count,post_det_schema_error_count,post_layer5_issue_count,post_layer5_error_count,post_layer5_warning_count,post_layer5_codes,post_total_issue_count,post_total_error_count,post_state_count,post_transition_count,post_iterations_run,post_stop_reason,repair_effective,issues_removed,errors_removed
UnreachableState,outputs\UnreachableState,outputs\UnreachableState\edited.puml,outputs\UnreachableState\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,1,0,2,1,1,S401|S420,3,1,4,4,True,,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\UnreachableState\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,2,Converged (deterministic + agentic OK).,True,3,1
DuplicateTransitions,outputs\DuplicateTransitions,outputs\DuplicateTransitions\edited.puml,outputs\DuplicateTransitions\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,0,0,1,1,0,S450,1,1,3,5,True,,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\DuplicateTransitions\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,2,Converged (deterministic + agentic OK).,True,1,1
DeadEndState,outputs\DeadEndState,outputs\DeadEndState\edited.puml,outputs\DeadEndState\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,1,0,2,1,1,S401|S420,3,1,3,3,True,,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\DeadEndState\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,2,Converged (deterministic + agentic OK).,True,3,1
DisconnectedSubgraph,outputs\DisconnectedSubgraph,outputs\DisconnectedSubgraph\edited.puml,outputs\DisconnectedSubgraph\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,3,0,3,2,1,S401|S420,6,2,5,5,True,,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\DisconnectedSubgraph\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,2,Converged (deterministic + agentic OK).,True,6,2
MultiIssueRepair,outputs\MultiIssueRepair,outputs\MultiIssueRepair\edited.puml,outputs\MultiIssueRepair\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,3,0,4,3,1,S401|S420|S450,7,3,5,6,True,,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\MultiIssueRepair\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,2,Converged (deterministic + agentic OK).,True,7,3
MaxItersStop,outputs\MaxItersStop,outputs\MaxItersStop\edited.puml,outputs\MaxItersStop\baseline\final.ir.json,True,True,,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_001\final.ir.json,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_001\final.puml,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_001\validation_report.json,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_001\l5.validation_agent.json,True,False,False,True,False,0,6,0,9,6,3,S401|S420|S450,15,6,6,5,True,,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002\final.ir.json,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002\final.puml,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002\validation_report.json,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002\l5.validation_agent.json,metrics_full_out\runs\adversarial\MaxItersStop\edits\edit_002\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,4,3,Converged (deterministic + agentic OK).,True,15,6
